Date,Symbol,Price,prev_price,daily_change_pct
2025-05-21 00:00:00,AAPL,206.86,,
2025-05-22 00:00:00,AAPL,202.09,206.86,-2.31
2025-05-23 00:00:00,AAPL,201.36,202.09,-0.36
2025-05-24 00:00:00,AAPL,195.27,201.36,-3.02
2025-05-25 00:00:00,AAPL,195.27,195.27,0.0
2025-05-26 00:00:00,AAPL,195.27,195.27,0.0
2025-05-21 00:00:00,BAC,44.69,,
2025-05-22 00:00:00,BAC,43.25,44.69,-3.22
2025-05-23 00:00:00,BAC,43.31,43.25,0.14
2025-05-24 00:00:00,BAC,43.2,43.31,-0.25
2025-05-25 00:00:00,BAC,43.2,43.2,0.0
2025-05-26 00:00:00,BAC,43.2,43.2,0.0
2025-05-21 00:00:00,GRVY,66.62,,
2025-05-22 00:00:00,GRVY,65.39,66.62,-1.85
2025-05-23 00:00:00,GRVY,64.16,65.39,-1.88
2025-05-24 00:00:00,GRVY,63.36,64.16,-1.25
2025-05-25 00:00:00,GRVY,63.36,63.36,0.0
2025-05-26 00:00:00,GRVY,63.36,63.36,0.0
2025-05-21 00:00:00,GS,606.52,,
2025-05-22 00:00:00,GS,593.46,606.52,-2.15
2025-05-23 00:00:00,GS,598.23,593.46,0.8
2025-05-24 00:00:00,GS,598.54,598.23,0.05
2025-05-25 00:00:00,GS,598.54,598.54,0.0
2025-05-26 00:00:00,GS,598.54,598.54,0.0
2025-05-21 00:00:00,IBM,266.95,,
2025-05-22 00:00:00,IBM,260.87,266.95,-2.28
2025-05-23 00:00:00,IBM,258.37,260.87,-0.96
2025-05-24 00:00:00,IBM,258.63,258.37,0.1
2025-05-25 00:00:00,IBM,258.63,258.63,0.0
2025-05-26 00:00:00,IBM,258.63,258.63,0.0
2025-05-21 00:00:00,MMM,154.15,,
2025-05-22 00:00:00,MMM,149.4,154.15,-3.08
2025-05-23 00:00:00,MMM,149.78,149.4,0.25
2025-05-24 00:00:00,MMM,147.62,149.78,-1.44
2025-05-25 00:00:00,MMM,147.62,147.62,0.0
2025-05-26 00:00:00,MMM,147.62,147.62,0.0
2025-05-21 00:00:00,MSFT,458.17,,
2025-05-22 00:00:00,MSFT,452.57,458.17,-1.22
2025-05-23 00:00:00,MSFT,454.86,452.57,0.51
2025-05-24 00:00:00,MSFT,450.18,454.86,-1.03
2025-05-25 00:00:00,MSFT,450.18,450.18,0.0
2025-05-26 00:00:00,MSFT,450.18,450.18,0.0
2025-05-21 00:00:00,MU,98.1,,
2025-05-22 00:00:00,MU,95.84,98.1,-2.3
2025-05-23 00:00:00,MU,94.83,95.84,-1.05
2025-05-24 00:00:00,MU,93.37,94.83,-1.54
2025-05-25 00:00:00,MU,93.37,93.37,0.0
2025-05-26 00:00:00,MU,93.37,93.37,0.0
2025-05-21 00:00:00,NFLX,1192.02,,
2025-05-22 00:00:00,NFLX,1194.63,1192.02,0.22
2025-05-23 00:00:00,NFLX,1187.97,1194.63,-0.56
2025-05-24 00:00:00,NFLX,1185.39,1187.97,-0.22
2025-05-25 00:00:00,NFLX,1185.39,1185.39,0.0
2025-05-26 00:00:00,NFLX,1185.39,1185.39,0.0
2025-05-21 00:00:00,ORCL,160.31,,
2025-05-22 00:00:00,ORCL,157.18,160.31,-1.95
2025-05-23 00:00:00,ORCL,157.31,157.18,0.08
2025-05-24 00:00:00,ORCL,155.97,157.31,-0.85
2025-05-25 00:00:00,ORCL,155.97,155.97,0.0
2025-05-26 00:00:00,ORCL,155.97,155.97,0.0
2025-05-21 00:00:00,UHAL,64.27,,
2025-05-22 00:00:00,UHAL,61.51,64.27,-4.29
2025-05-23 00:00:00,UHAL,61.62,61.51,0.18
2025-05-24 00:00:00,UHAL,61.99,61.62,0.6
2025-05-25 00:00:00,UHAL,61.99,61.99,0.0
2025-05-26 00:00:00,UHAL,61.99,61.99,0.0
2025-05-21 00:00:00,WDC,50.63,,
2025-05-22 00:00:00,WDC,49.49,50.63,-2.25
2025-05-23 00:00:00,WDC,49.84,49.49,0.71
2025-05-24 00:00:00,WDC,50.18,49.84,0.68
2025-05-25 00:00:00,WDC,50.18,50.18,0.0
2025-05-26 00:00:00,WDC,50.18,50.18,0.0
2025-05-21 00:00:00,WNC,9.69,,
2025-05-22 00:00:00,WNC,9.04,9.69,-6.71
2025-05-23 00:00:00,WNC,8.84,9.04,-2.21
2025-05-24 00:00:00,WNC,8.66,8.84,-2.04
2025-05-25 00:00:00,WNC,8.66,8.66,0.0
2025-05-26 00:00:00,WNC,8.66,8.66,0.0
2025-05-21 00:00:00,YHOO,13.75,,
2025-05-22 00:00:00,YHOO,13.75,13.75,0.0
2025-05-23 00:00:00,YHOO,13.75,13.75,0.0
2025-05-24 00:00:00,YHOO,13.75,13.75,0.0
2025-05-25 00:00:00,YHOO,13.75,13.75,0.0
2025-05-26 00:00:00,YHOO,13.75,13.75,0.0
